compound_reference,compound_name,MDS_coord1,MDS_coord2,T_density,aSite_heterogeneity
Natrolite,Natrolite,-0.04725656964190870,-0.3056219816252420,72.75959529853150,0.5240350949194120
Mesolite,Mesolite,-0.02048246561214590,-0.3117542492807520,71.62614174385410,0.5045908145445930
Scolecite,Scolecite,-0.04038144424206460,-0.36674378263396700,71.18242364210560,0.5253555482839870
Nu-87,Nu-87,0.24961943000917500,0.28481194888786100,67.94195492725490,0.37900186131242800
Nonasil,Nonasil,-0.8556745671331920,0.32354095841941000,56.47499654074770,0.37583163884038400
NPO-1,NPO-1,0.5495845959143720,-0.6073456801018230,84.4948709520801,0.20021538136506800
ONPO-2,ONPO-2,0.8498966660267160,-0.2718979976013190,59.921684513271300,0.35889403273837200
Nu-6(2),Nu-6(2),0.052985052314142000,0.2516310121236200,79.18196029270850,0.3372533540198630
OSB-2,OSB-2,0.8897957693554550,0.045793974389982100,51.7143578505508,0.2854967994210030
Offretite,Offretite,0.23860087724805800,0.05430933747703740,63.1947231334051,0.2861477535438880
COK-14,COK-14,-0.08700167726008360,0.09525878990393260,65.50958869790160,0.46875537311580600
UiO-6,UiO-6,-0.5702585192274080,0.6201722473859680,61.56487207767560,0.8452455315141520
OSB-1,OSB-1,-0.15618631427643200,-0.5561335172006470,49.97661765287900,0.3114030402015700
UiO-28,UiO-28,-0.9805193122796680,0.061855388788032500,49.402923007487200,0.8246963751103270
Paulingite,Paulingite,0.45966913722561400,0.028368540235295400,65.09503020917820,0.16240160206269200
IPC-4,IPC-4,0.12238758718642200,0.3650507260837570,72.24375523132180,0.4793959539706170
Phillipsite,Phillipsite,0.5287127090341150,-0.042485595009682500,70.0537788600262,0.1645697915464550
Harmotome,Harmotome,0.5191983905787830,-0.05478573556684190,69.42187871884340,0.21061198766747700
IST-1,IST-1,-0.6902142980814320,-0.20345151244735200,59.353006272645100,0.8936753304890510
PST-13,PST-13,-0.5495334719883140,-0.07162376656919280,58.81096728331050,0.7746101999066330
PST-14,PST-14,-0.4810515070796260,-0.09538478293672260,59.514096241142000,0.7218375272005220
PUK-16,PUK-16,0.3143256579034640,0.40384249990763200,60.60883498573990,0.5287101478679870
PST-6,PST-6,-0.5943415158792820,0.39443520476035000,65.89760583849210,0.7079229434765170
PUK-9,PUK-9,0.6785781887459460,-0.23983511301713400,62.94118681652530,0.41450525009640300
PST-29,PST-29,0.5610550054762940,-0.022100423073827700,65.1309574526419,0.15171459698337200
PST-21,PST-21,0.5172169526110330,-0.22673135764844600,71.07014555625610,0.3551042311005610
PST-22,PST-22,0.1532768993277650,0.026533430446795200,66.59953188754150,0.31060480045599000
Rho,Rho,0.5281105018168420,-0.5587036304056790,73.15204126625090,0.262603885173535
RUB-41,RUB-41,0.3193640914024060,0.20511325469818200,70.40169918094950,0.3080310997191920
RUB-17,RUB-17,0.6023145696279370,0.44169289331752100,69.40230285615120,0.7582476840558670
RUB-3,RUB-3,0.4330041059461760,0.1586049072992670,69.88412378632040,0.18081489271241600
RUB-13,RUB-13,0.11056398768682000,0.2331069071486190,61.71290574656390,0.26460357922480300
RUB-10,RUB-10,-0.4519640390576120,0.3279372131453690,60.34350451299710,0.4077206515784650
RUB-24,RUB-24,0.25006177567560400,0.3525933935454470,75.95165051253840,0.3876006323139780
UCR-20,UCR-20,0.3521266747233990,1.1845217560006700,59.5488060525622,0.0008802613975752030
STA-15,STA-15,-0.5413847341892450,0.49081215884825700,61.9900715482549,0.6507423366005530
STA-1,STA-1,-0.6646998801320350,0.011140870092197200,44.83384638040410,0.7723956064696250
STA-6,STA-6,-0.7806287363608860,0.38459238851362300,48.971690539817300,0.7578852408270140
STA-2,STA-2,-0.7226532803275730,0.2615403809025470,52.95575199897590,0.7262935906159770
STA-7,STA-7,-0.73105316643142,0.2916482209995460,48.52107708683940,0.7558908800172690
UCSB-8Co,UCSB-8Co,-0.8105883783826990,0.0025706555783147800,42.253722851778600,0.8380626996065870
UCSB-9,UCSB-9,0.46015627369343500,-0.7619816781522120,79.26453554634820,0.5352068254311800
UCSB-6GaCo,UCSB-6GaCo,-0.7593368005245870,0.5762796794882550,43.053224430975000,0.9094998509316190
UCSB-10GaZn,UCSB-10GaZn,-0.7815404248579480,0.5064647380461090,42.73831665217270,0.8847734423292850
SSZ-82,SSZ-82,-0.009535857508204780,0.2608359556066890,61.88062280772930,0.37100321379910900
SSZ-48,SSZ-48,0.1526819483616100,0.11467699548223400,70.19612304231600,0.34451808846831600
SSZ-44,SSZ-44,0.251312479101764,0.18069613660172400,66.47298990349410,0.2872363514948820
SSZ-58,SSZ-58,0.17843492925383900,0.3803582951398880,68.55543588435270,0.29267313280003500
SSZ-53,SSZ-53,0.09357290366416210,0.18151101738950200,66.36837241894840,0.35500720416062600
SSZ-59,SSZ-59,-0.031509913891183000,0.21648433011446200,64.2650529025115,0.3407973376612040
SSZ-51,SSZ-51,-0.4009032343489050,0.5604058358017240,52.78810669136300,0.8050168997769740
SSZ-56,SSZ-56,-0.01846541247477520,0.29416484591458900,62.185375009859700,0.26437102201872300
SSZ-52,SSZ-52,0.4524531116282600,0.02512649303063410,62.37288703969070,0.07524050960294160
Sigma-2,Sigma-2,0.3021979457821070,0.3688387909614710,69.26648340576760,0.2954325164645930
SIZ-7,SIZ-7,-0.8867739529322870,0.2584324504201370,50.001574053587600,0.8325263795297260
Sodalite,Sodalite,0.09530956621024100,-0.44606744301788200,72.73300318952210,0.5022376228462440
Bicchulite,Bicchulite,0.5019633127429160,-0.8537073384867880,88.28431381380500,0.001244877616872880
